x1,x2,y
2.882026172983832,1.5522667194031623,0.0
2.2000786041836116,2.193451248929631,0.0
2.4893689920528694,1.7445974312155634,0.0
3.120446599600729,1.409683907938794,0.0
2.9337789950749835,1.9859088858306726,0.0
1.5113610600617946,2.2141659352652088,0.0
2.4750442087627946,2.033258611191584,0.0
1.9243213958511511,2.151235948869891,0.0
1.948390574103221,1.6828389531595183,0.0
2.205299250969186,1.818629417006431,0.0
2.072021785580439,1.6637697761120245,0.0
2.7271367534814877,1.8202234192297293,0.0
2.3805188625734965,1.593426858977773,0.0
2.060837508246414,1.1368586988341616,0.0
2.221931616372713,2.088713071126876,0.0
2.1668371636871333,1.799109531895869,0.0
2.747039536578803,1.1849008265169778,0.0
1.8974208681170996,2.2313911277628873,0.0
2.1565338508254506,1.546350817808379,0.0
1.5729521303491376,2.0259726978980694,0.0
0.7235050920829607,2.3645452810887684,0.0
2.3268092977201804,2.0644914553787053,0.0
2.432218099429753,2.5697003422716502,0.0
1.628917489796779,1.3825870898231738,0.0
3.1348773119938036,2.2011708205887746,0.0
1.2728171627006177,1.6575949545298434,0.0
2.022879258650723,1.5646014254090592,0.0
1.906408074987083,1.7105751676177923,0.0
2.766389607179229,1.8442237339363137,0.0
2.7346793849501427,2.0280826711148725,0.0
2.077473712848458,1.4174250796083219,0.0
2.1890812598010867,2.4504132434770938,0.0
1.5561071261849437,2.23283121986523,0.0
1.0096017658880365,1.2318781568613881,0.0
1.8260439253369236,2.7441260968977996,0.0
2.07817448455199,2.9479445880152917,0.0
2.6151453403638603,2.5893897855798254,0.0
2.6011899243922056,1.9100375820938245,0.0
1.8063365912960239,1.4646236892447289,0.0
1.8488486247123321,2.5272258634655684,0.0
1.4757235174664536,1.7984115265134102,0.0
1.2899910314105125,2.6112225351912137,0.0
1.1468649046874937,2.1041374890384303,0.0
2.975387697615895,2.4883195182418563,0.0
1.7451739091241731,2.178183198587201,0.0
1.7809628491944067,2.353286584095974,0.0
1.373602319975037,2.00525001036041,0.0
2.388745177915955,2.8929352469529177,0.0
1.1930510762210242,2.06345604635181,0.0
1.8936298598930157,2.2009946817223507,0.0
4.9415753485281275,3.9658791973376846,1.0
3.3261204694287767,4.856671360824683,1.0
3.364757500757133,3.62762258897578,1.0
4.484698354079006,3.5867807306704926,1.0
3.4134382974429203,3.950773737787284,1.0
4.971810592824646,3.6682608568189465,1.0
3.793190509620126,4.5633179610532535,1.0
3.6262725942796212,3.4600342458182882,1.0
4.9614710132401925,3.4262656737944486,1.0
4.7402573957172125,3.781089977627783,1.0
4.933779480213285,3.7509837746538475,1.0
4.453022329137693,4.964766026908493,1.0
3.5693871574726486,4.474710403462881,1.0
4.955032476549517,4.043775620692595,1.0
3.86599831452431,3.387282240584916,1.0
4.401228197898198,4.422181488200773,1.0
4.473625983886874,3.4998923263052175,1.0
3.9224949534545828,3.227614451611194,1.0
4.30703968517304,4.594014896176151,1.0
4.461103335783263,4.158471305962425,1.0
4.1882127655778145,4.460429411890409,1.0
3.4502996047079026,4.159363826471511,1.0
4.149119087103028,4.428415305951345,1.0
4.663192948343515,3.6744872033499267,1.0
3.6527160701343173,3.4828785791077674,1.0
3.925182729836165,4.340797259140814,1.0
3.782423224139181,3.5982951679130792,1.0
4.924631864239671,3.6552251111248997,1.0
4.336147378506218,3.7722337482413284,1.0
4.203730918120555,4.008739579512528,1.0
3.615041962777342,3.823003044373258,1.0
4.269624595645909,3.3125243532909905,1.0
3.662833669671312,3.6781907985835547,1.0
4.015915279137175,2.888298423887787,1.0
3.6820769608105595,4.312615725513593,1.0
4.33821664747325,3.198971172196626,1.0
4.28829540830747,3.447808330285775,1.0
3.8958506222110025,4.026082539630488,1.0
4.1980033563308226,3.630218501804343,1.0
3.4534692456347473,4.7715072977033675,1.0
3.2543712036471972,3.3535715451382755,1.0
4.219695850632268,4.133525434674591,1.0
4.083336747686264,3.980358590886252,1.0
4.317515718446053,3.4159532511294013,1.0
5.191572387431971,4.2616383302658765,1.0
4.472239743495207,3.914226834388876,1.0
3.5435888872779207,4.385895275606834,1.0
4.558508144047926,4.411752076981866,1.0
3.3420462947442395,5.081617974640345,1.0
3.7692076975926456,4.6682639747181955,1.0
